name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
SAINT HILAIRE LES ANDRESIS;Saint-Hilaire-les-Andrésis;4;48.0368366;3.0225587;2;[1264038008, 1810705536];;close;
SAINT JEAN D ANGELY;Saint-Jean-d'Angély;34;45.9628699;-0.5458975;1;[309937348];;close;
SAINT JEAN DE LINIERES;Saint-Jean_de_Linières;18;47.4665473;-0.6860373;2;[1465598768, 1465598784];;open;
ST MAIXENT SOUDAN;Saint-Maixent-Soudan;31;46.4255262;-0.0821627;2;[883346500, 883347456];;close;ASF
SAINT MARTIN DU FRESNE;Saint-Martin-du-Fresne;8;46.1324281;5.5415206;1;[410246295];;close;
PEAGE DE ST MAURICE;Péage de Saint-Maurice;Péage de Saint-Maurice;47.4253686;6.6711249;2;[13835106, 36304281];;close;APRR
SAINT THIBAULT;Saint-Thibault;21;48.2233891;4.1297359;2;[3089029407, 3089029424];;close;
SAINTE MAURE;Sainte-Maure;25;47.1072866;0.5876617;1;[894516551];;close;
SAINTE MENEHOULD;Sainte Menehould;29;49.0763749;4.8837392;2;[21528882, 310301329];;close;
SAINTES;Saintes;35;45.7523174;-0.6639451;2;[253948577, 253948654];;close;
SALBRIS;Salbris;4;47.4185485;2.025665;2;[578797805, 578799574];;close;
VIVY SAUMUR;Vivy-Saumur;3;47.310571;-0.0317123;7;[249798721,482956516,12880598967,12880598968,12880598969,12880598970, 12880598971];;close;
SAVIGNY SUR CLAIRIS;Savigny-sur-Clairis;3;48.0559454;3.0880896;2;[1820927791, 1820927832];;close;
SEES;Sées;17;48.6352041;0.1871255;5;[270111794,270111802,1260038730,2508032317, 4357543559];;close;
SEICHES SUR LE LOIR;Seiches-sur-Le-Loir;12;47.5664551;-0.3279756;2;[290812844, 7171485717];;close;
SELLES SUR CHER;Selles-sur-Cher;13;47.3246739;1.5001828;2;[28099229, 28121110];;close;
SEURRE;Seurre;1;47.0293728;5.1702888;2;[1034029729, 1034029730];;close;
ROUESSE FONTAINE;Rouessé-Fontaine;20;48.31154;0.1335365;2;[458735366, 2476554633];;close;
JOUE EN CHARNIE;Joué-en-Charnie;1;48.0043802;-0.2173331;2;[98322556, 98322557];;close;
SOIRANS;Soirans;5;47.2053403;5.3050035;1;[609200151];;close;
SOMMESOUS;Sommesous;20;48.7298276;4.2292654;2;[865277253, 865277258];;close;
PEAGE DE ST GERMAIN LES VERGNES;Péage de Saint-Germain-les-Vergnes;Péage de Saint-Germain-les-Vergnes;45.2839317;1.6171681;2;[28126039, 28126040];;close;APRR
ST JULIEN SANCY;Saint-Julien-Sancy;25;45.6663047;2.6824524;2;[288149616, 444805506];;close;APRR
SAINTE HERMINE;Sainte-Hermine;7;46.5335213;-1.0791804;7;[253951327,279217617,4001244528,4001244529,4001244530,4001244531, 4001244532];;close;ASF
SYLANS;Sylans;9;46.1585737;5.6483351;2;[292356937, 292356996];;close;
THENNELIERES;Thennelières;23;48.289342;4.1629475;2;[502976800, 1049830277];;close;
TIL CHATEL;Til-Châtel;5;47.5387434;5.1947119;2;[839038429, 6017249052];;close;
TORVILLIERS;Torvilliers;20;48.2844446;3.965953;2;[4189960633, 4189960634];;close;
TOURNUS;Tournus;27;46.5790969;4.9011715;2;[211475830, 258942957];;close;
PEAGE DE TOURS CENTRE;Tours centre sorigny;Tours centre sorigny;47.2184528;0.6577159;3;[85698610,726432887,8274123701];;close;ASF
TOURS CENTRE CANDE;Tours centre-cande;Tours centre-cande;47.3036812;0.6883244;2;[6168514563, 6168514564];;open;
PEAGE DE MONNAIE;Péage de Monnaie;;47.4903389;0.8194191;2;[306622478, 306622595];;close;APRR
PEAGE DE ST CHRISTOPHE;Péage de Tours centre Saint-Christophe;Péage de Tours centre Saint-Christophe;47.6382202;0.4967952;2;[55149606, 55394714];;close;
TULLE EST;Tulle Est;21;45.3181188;1.8503589;2;[3922204754, 3922204755];;close;
TULLE NORD;Tulle Nord;20;45.3290189;1.7639661;1;[1125653080];;close;
URY;Ury;14;48.338634;2.5954312;2;[28870546, 28870547];;close;
USSEL EST;Ussel Est;24;45.5889363;2.4145518;2;[944248712, 944248772];;close;
USSEL OUEST;Ussel Ouest;23;45.5124063;2.2588909;2;[705563120, 4422912952];;close;
PEAGE DE VAL DE SAONE;Péage Val de Saône;Péage Val de Saône;46.2953901;4.8978335;2;[291747385, 471330156];;close;APRR
VALLEE DE L AUBE;Vallée-de-l'Aube;21;48.5254684;4.1855778;2;[1695359055, 1695359059];;close;
VATRY;Vatry;19;48.7676355;4.2399554;2;[1344207311, 1344207363];;close;
PEAGE DE VEIGNE;Péage de Veigné;Péage de Veigné;47.3120032;0.7352858;2;[1911871879, 1911871885];;close;APRR
VERDUN;Verdun;31;49.1109692;5.4138552;1;[230233305];;close;
VIEILLEVILLE;Vieilleville;22;47.2913532;-1.4803645;2;[357302937, 448420478];;open;
VIERZON EST;Vierzon Est;6;47.2118385;2.1184157;2;[303191561, 369043557];;close;
VIERZON NORD;Vierzon Nord;5;47.2438063;2.0644035;2;[26265822, 482593907];;close;
VILLE SOUS LA FERTE;Ville-sous-la-Ferté;23;48.1149682;4.7855547;1;[511062430];;close;
PEAGE DE VILLEFRANCHE LIMAS;Péage de Villefranche-Limas;Péage de Villefranche-Limas;45.9732236;4.7324254;2;[2408730593, 2408730611];;close;APRR
VILLEFRANCHE NORD;Villefranche Nord;31.1;46.0223536;4.7220235;2;[256748954, 290195298];;close;
VILLEFRANCHE VILLE;Villefranche Ville;31.2;45.9768763;4.7347339;5;[7623043929,7623043930,7623043933,7623043934, 12463829779];;close;
VILLENEUVE DONDAGRE;Villeneuve-Dondagre;2;48.1496404;3.1713746;2;[3296768915, 3296768950];;close;
VIRIAT;Viriat;6;46.2357293;5.2734836;2;[1330238093, 1330238094];;close;
PEAGE DE VIRSAC;Péage de Virsac;Péage-de-Virsac;45.0235919;-0.4354379;2;[302010360, 387740859];;close;ASF
VIRY;Vinay;3094;45.1994862;5.419409;2;[21032382, 25452344];;close;
PEAGE DE LA GRAVELLE;Péage de La Gravelle;Péage de La Gravelle;48.0828379;-1.0276084;2;[49362760, 49362776];;close;
VOIE SACREE;Voie-Sacrée;30;49.0938355;5.2784389;2;[1575874816, 5636803321];;close;
VOUILLE;Vouillé;32;46.3074932;-0.3663971;2;[672506884, 801745089];;close;
VULAINES;Vulaines;19;48.2377942;3.6012971;2;[331203148, 828930660];;close;
VULCANIA BROMONT;Vulcania-Bromont;26;45.8339019;2.822617;1;[4255789073];;close;
