osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Carcassonne Est,24,43.2020227,2.4181660,2,"[14790565, 409788423]"
Bollène,19,44.2902627,4.7509278,2,"[14798007, 14798008]"
Montélimar Nord,17,44.6689369,4.7949641,2,"[14798265, 14798276]"
La Baume d'Hostun,3092,45.0646330,5.2080027,2,"[15861717, 29789322]"
Chanas,12,45.3211595,4.8098547,2,"[16567653, 28128388]"
Groissiat,Groissiat,46.2237181,5.6140918,7,"[18267636, 18267637, 9247763979, 9247763980, 9247763981, 9247763982, 9247763993]"
L'Isle-d'Abeau Centre,3003,45.6051030,5.2344726,2,"[19224143, 267571099]"
Vinay,3094,45.1994862,5.4194090,2,"[21032382, 25452344]"
Sainte-Marie-de-Cuines,051,45.3460087,6.3055052,2,"[21032868, 21032874]"
Péage d'Arveyres,Péage d'Arveyres,44.8851487,-0.2686080,2,"[21465992, 249778842]"
Sainte Menehould,29,49.0763749,4.8837392,2,"[21528882, 310301329]"
Condrieu,10,45.5055132,4.8406636,2,"[21562312, 635290239]"
Péage de Viry,Péage de Viry,46.1200143,6.0095423,2,"[21700511, 21700610]"
Bourg Nord,5,46.2599489,5.1669614,2,"[21760589, 652123095]"
Péage de Setques,Péage de Setques,50.7191499,2.1726250,2,"[23059466, 23059471]"
Péage de Courcy,Péage de Courcy,49.3220770,3.9839641,2,"[23197167, 23197169]"
Péage de Reims Est,Péage de Reims Est,49.2115374,4.0785028,2,"[23217938, 23217941]"
Coutevroult,15,48.8537293,2.8383486,2,"[25196607, 264140281]"
Nice Saint-Isidore,52,43.7037083,7.1898065,6,"[25315142, 36263019, 259980982, 1258762106, 4423580255, 4423580256]"
Le Capitou,38,43.4688401,6.7292223,2,"[25415070, 60247058]"
Aiton,3033,45.5559554,6.2481429,2,"[25631385, 27087837]"
Balan,6,45.8510120,5.0994272,5,"[25783301, 774739116, 2422255483, 2422255492, 2422255497]"
Bourg Sud,7,46.1456922,5.2862738,2,"[25946087, 317802090]"
Péage du Bignon,Péage-du-Bignon,47.1147220,-1.4919985,2,"[25959136, 25959780]"
Allonzier,3014,45.9897608,6.1277756,2,"[26085850, 291392948]"
Gerzat Ville,14,45.8419673,3.1608014,4,"[26189019, 360688779, 376962116, 376962319]"
Péage de Saint-Arnoult,Péage de Saint-Arnoult,48.5536289,1.9303383,5,"[26209736, 26210039, 4127019592, 4127019613, 8394699087]"
