name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
LANGRES NORD;Langres Nord;7;47.9351554;5.2867691;2;[243763172, 1054674013];;;
LANGRES SUD;Langres Sud;6;47.7923617;5.2262935;2;[1419329118, 1419329124];;;
LAVAL EST;Laval Est;3;48.1076995;-0.7384822;3;[264788441, 275173451, 4876868264];;;
LAVAL OUEST;Laval Ouest;4;48.1045802;-0.8343026;2;[287697090, 2782616479];;;
LE BIGNON;;;;;;;;;
LE MANS CENTRE UNIVERSITE;;;;;;;;;
LE MANS SUD;Le Mans Sud;9;47.9737203;0.0575183;2;[73963126, 7181036266];;;
LE MANS ZI NORD;Le-Mans-ZI-Nord;7;48.050376;0.1739762;7;[57565041, 244893345, 8525739242, 8525739243, 8525739244, 8525739245, 8525739246];;;
LE MIROIR;Le Miroir;9;46.5474715;5.3265684;2;[4415774336, 4415774337];;;
LES EPRUNES;;;;;;;;;
LES ESSARTS;Les Essarts;5;46.7903968;-1.1946328;6;[279128148, 824250288, 4003306365, 4003306366, 4003306367, 4422608089];;;
LES HERBIERS;Les Herbiers;29;46.9020192;-1.046772;2;[807894118, 807894416];;;
LONGUE JUMELLES;Longué-Jumelles;2;47.4045141;-0.1159748;4;[1967766750, 1967766760, 1967766768, 1967766796];;;
MACON NORD;Mâcon Nord;28;46.365966;4.8393236;2;[211276424, 258934071];;;
MACON SUD;Mâcon Sud;29;46.2830087;4.7928327;2;[13380042, 13380044];;;
MAGNANT;Magnant;22;48.1791079;4.4406086;2;[828894371, 1665577393];;;
MANZAT;Manzat;27;45.9539605;2.9826574;5;[432436227, 9291141569, 9291141572, 9291141575, 9291141583];;;
MAROLLES SUR SEINE;Marolles-sur-Seine;18;48.3801783;3.0203703;2;[317670287, 317670314];;;
MER;Mer;16;47.7285632;1.5086201;1;[448438837];;;
MEUNG;;;;;;;;;
MIRAMBEAU;Mirambeau;37;45.3777;-0.5796224;2;[494910454, 494910456];;;
MONT CHOISY;Mont-Choisy;18;48.910712;4.2881712;2;[243198059, 1575767382];;;
MONTAIGU;Montaigu;4;46.9594945;-1.353045;8;[26589771, 275329462, 4003307027, 4003307028, 4003307029, 4003307031, 4003307032, 4404266838];;;
MONTIGNY LE ROI;Montigny-le-Roi;8;47.997372;5.5118949;2;[586530226, 1054665949];;;
MONTLUCON;Montluçon;Montluçon;46.3964311;2.7112613;2;[4330970608, 4330970609];;;
MONTMARAULT;Montmarault;11;46.3276582;2.9663511;2;[26265393, 239563333];;;
MONTREUIL AUX LIONS;Montreuil-aux-Lions;19;49.0132565;3.1552689;4;[4390079353, 4390079354, 4390079355, 4390079356];;;
MONTS SORIGNY;Monts-sorigny;24.1;47.2544968;0.6709183;2;[252013420, 1503669865];;;
NANTES;Saintes;35;45.7523174;-0.6639451;2;[253948577, 253948654];;;
NEMOURS;Nemours;16;48.2695319;2.71338;2;[649150142, 649587072];;;
NEUILLE PONT PIERRE;Neuillé pont pierre;27;47.5554482;0.595709;2;[4464577863, 4464577864];;;
NIORT EST;Niort Est;11;46.3552904;-0.331188;6;[735016190, 3999405516, 3999405520, 3999405523, 3999405525, 3999405529];;;
NIORT NORD;Niort Nord;10;46.4193233;-0.3969591;4;[901258167, 4001139231, 4001139234, 4001139239];;;
NIORT OUEST;Niort Ouest;9;46.3878963;-0.6478799;5;[4001140435, 4001140450, 4001140454, 4001140460, 4001140464];;;
NITRY;Nitry;21;47.6591113;3.8795829;2;[828809344, 1098856873];;;
