name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
PEAGE DE LA COTIERE;Péage de la Côtière;Péage de la Côtière;45.8342800;5.0314003;3;[727671128, 1190068311, 2596549075];;close;APRR
LA CROIX CHALON;La Croix Chalon;9;46.1777171;5.5590084;2;[291568677, 291568687];;close;APRR
LAMOTTE BEUVRON;Lamotte-Beuvron;3;47.5817361;1.9910306;1;[370669859];;close;APRR
LANGRES NORD;Langres Nord;7;47.9351554;5.2867691;2;[243763172, 1054674013];;close;APRR
LANGRES SUD;Langres Sud;6;47.7923617;5.2262935;2;[1419329118, 1419329124];;close;APRR
LE MIROIR;Le Miroir;9;46.5474715;5.3265684;2;[4415774336, 4415774337];;close;APRR
LE TOURNEAU;Le Tourneau;Le Tourneau;47.9929422;2.6775813;2;[247393144, 247393204];;open;APRR
PEAGE DES EPRUNES;Péage des Eprunes;Péage des Eprunes;48.5891526;2.6570500;2;[1389350279, 1389350280];;close;APRR
MACON CENTRE;Mâcon centre;1;46.3401042;4.8472814;3;[1732420087, 1732420093, 1739757654];;close;APRR
MACON NORD;Mâcon Nord;28;46.3659660;4.8393236;2;[211276424, 258934071];;close;APRR
MACON SUD;Mâcon Sud;29;46.2830087;4.7928327;2;[13380042, 13380044];;close;APRR
MAGNANT;Magnant;22;48.1791079;4.4406086;2;[828894371, 1665577393];;close;APRR
MANZAT;Manzat;27;45.9539605;2.9826574;5;[432436227, 9291141569, 9291141572, 9291141575, 9291141583];;close;APRR
MAROLLES SUR SEINE;Marolles-sur-Seine;18;48.3801783;3.0203703;2;[317670287, 317670314];;close;APRR
MER;Mer;16;47.7285632;1.5086201;1;[448438837];;close;APRR
MEUNG SUR LOIRE;Meung-sur-Loire;15;47.8328030;1.6690019;1;[303350369];;close;APRR
MIONNAY;Mionnay;Mionnay;45.8830430;4.8989851;2;[1562494772, 9462556154];;open;APRR
